OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
9499;8,20031E+18;8;4;17;51;2020;3;18;6;3;1;6;1;0;1;0;0;0;0;491456,363;5358710,209;8,884613844;48,38149999;1
9500;8,20032E+18;8;3;17;89;2020;3;19;1;2;9;1;2;0;1;0;0;0;0;425774,42;5388844,463;7,992263179;48,64824854;0
9501;8,20031E+18;8;4;16;36;2020;3;18;6;3;5;3;2;0;1;0;0;0;0;492302,2298;5371774,723;8,895797571;48,49904552;1
9502;8,20031E+18;8;4;15;59;2020;3;7;6;2;4;6;1;0;1;0;0;0;1;515140,963;5364258,379;9,204686127;48,43129019;1
9503;8,20031E+18;8;4;15;59;2020;3;8;6;3;1;6;0;0;1;0;0;0;0;516166,6119;5367099,998;9,21866117;48,4568291;0
9504;8,20031E+18;8;3;36;105;2020;3;12;6;3;0;7;0;0;0;0;0;0;1;401816,8939;5267690,274;7,694961465;47,55520541;0
9505;8,20031E+18;8;3;26;54;2020;3;9;6;2;4;1;0;0;1;0;0;0;0;441097,5212;5327824,929;8,20882728;48,1009655;2
9506;8,20032E+18;8;2;35;7;2020;3;16;2;3;0;6;0;0;1;0;1;0;0;483736,3229;5396580,395;8,778871841;48,72203796;0
9507;8,20031E+18;8;3;35;75;2020;3;13;6;3;6;4;0;0;1;1;0;0;0;487950,1861;5289041,926;8,839225464;47,75463412;0
9508;8,20031E+18;8;3;25;57;2020;3;18;6;2;8;1;2;0;1;0;0;0;0;477855,7108;5356767,097;8,701034286;48,36368798;1
9509;8,20031E+18;8;3;26;68;2020;3;22;6;3;2;6;2;0;1;0;0;0;0;450342,8022;5320370,846;8,333865488;48,03469288;0
9510;8,20031E+18;8;3;17;96;2020;3;16;6;3;2;6;0;0;1;0;0;0;0;421000,8159;5367433,048;7,931527977;48,45507307;0
9511;8,20032E+18;8;4;25;31;2020;3;1;1;3;5;3;2;0;1;0;0;0;0;568753,6828;5370813,854;9,930476887;48,4866873;0
9512;8,20033E+18;8;3;15;98;2020;3;7;4;3;5;3;0;1;1;0;0;0;0;406778,3359;5312066,226;7,751377073;47,95511837;0
9513;8,20032E+18;8;2;36;4;2020;3;13;3;3;5;3;0;0;1;0;1;0;0;472700,8407;5413266,239;8,627722119;48,87175394;0
9514;8,20033E+18;8;3;17;65;2020;3;19;1;3;9;1;2;0;1;0;0;0;0;415502,0496;5354302,78;7,859813802;48,3362548;1
9515;8,2004E+18;8;1;36;21;2020;4;16;4;3;2;6;0;0;1;0;0;0;1;575430,6393;5408057,354;10,02761113;48,82091631;0
9516;8,20033E+18;8;2;22;0;2020;3;12;2;3;3;6;0;0;1;0;0;0;0;467793,6768;5482471,466;8,555261322;49,49402382;0
9517;8,20032E+18;8;3;26;74;2020;3;18;5;2;3;6;0;0;0;0;1;1;0;457737,1548;5325844,865;8,432511754;48,08447302;0
9518;8,20032E+18;8;2;21;0;2020;3;16;2;3;9;1;0;0;0;0;1;0;0;473309,0533;5473935,672;8,631996894;49,41751449;0
9519;8,20032E+18;8;2;31;0;2020;3;11;3;1;2;6;0;0;0;0;0;1;1;484433,3551;5414814,717;8,787657557;48,88608921;0
9520;8,20032E+18;8;1;19;79;2020;3;17;5;3;1;6;0;0;1;0;0;0;1;522767,8702;5409182,455;9,310258772;48,83520033;0
9521;8,20032E+18;8;1;25;102;2020;3;14;7;3;4;2;0;0;1;0;0;0;0;522594,7947;5442893,275;9,309774363;49,13845255;1
9522;8,20033E+18;8;3;15;70;2020;3;16;1;3;8;1;0;0;1;0;0;0;0;451504,0335;5302089,557;8,351503119;47,87031117;1
9523;8,20032E+18;8;2;12;0;2020;3;17;4;3;5;3;0;1;1;0;0;0;0;455980,9059;5428228,963;8,398107288;49,00538539;0
9524;8,20033E+18;8;1;15;28;2020;3;18;6;2;3;1;0;0;1;0;0;0;0;501070,3348;5403192,848;9,014569992;48,78173489;0
9525;8,20033E+18;8;2;25;60;2020;3;4;1;3;8;1;2;0;1;0;0;0;0;517828,4787;5486839,989;9,246394344;49,5339104;0
9526;8,2004E+18;8;1;18;6;2020;4;15;5;3;2;6;0;0;1;0;0;1;0;517900,812;5421851,355;9,244490941;48,94932541;0
9527;8,20032E+18;8;1;21;0;2020;3;18;6;2;2;6;0;0;1;0;1;0;0;514703,634;5444880,342;9,201660062;49,15656645;0
9528;8,20033E+18;8;1;18;51;2020;3;10;4;3;2;6;0;0;1;0;0;0;1;510124,001;5413478,206;9,138067283;48,87417906;0
